<이슬레벨>	<성장치생산량>	<비활성시생산량>	<비용>	<이슬이미지>
1	0.1	0.01	0	0
2	0.2	0.02	300	0
3	0.3	0.03	600	0
4	0.35	0.035	900	0
5	0.4	0.04	1200	0
6	0.45	0.045	1500	0
7	0.5	0.05	1800	0
8	0.55	0.055	2100	0
9	0.6	0.06	2400	0
10	0.65	0.065	2700	1
11	0.68	0.068	3000	1
12	0.71	0.071	3300	1
13	0.74	0.074	3600	1
14	0.77	0.077	3900	1
15	0.8	0.08	4200	1
16	0.83	0.083	4500	1
17	0.86	0.086	4800	1
18	0.89	0.089	5100	1
19	0.92	0.092	5400	1
20	0.94	0.094	5700	2
21	0.96	0.096	6000	2
22	0.98	0.098	6300	2
23	1	0.1	6600	2
24	1.02	0.102	6900	2
25	1.04	0.104	7200	2
26	1.06	0.106	7500	2
27	1.08	0.108	7800	2
28	1.1	0.11	8100	2
29	1.12	0.112	8400	2
30	1.14	0.114	8700	3
31	1.15	0.115	9000	3
32	1.16	0.116	9300	3
33	1.17	0.117	9600	3
34	1.18	0.118	9900	3
35	1.19	0.119	10200	3
36	1.2	0.12	10500	3
37	1.21	0.121	10800	3
38	1.22	0.122	11100	3
39	1.23	0.123	11400	3
40	1.24	0.124	11700	4
41	1.25	0.125	12000	4
42	1.26	0.126	12300	4
43	1.27	0.127	12600	4
44	1.28	0.128	12900	4
45	1.29	0.129	13200	4
46	1.3	0.13	13500	4
47	1.31	0.131	13800	4
48	1.32	0.132	14100	4
49	1.33	0.133	14400	4
50	1.34	0.134	14700	4
