[선물]	<선물이미지>	<선물명>	<선물플레이버텍스트>	<선물텍스트>
1	g_rock	푸르의 애완 돌	푸르가 옛날부터 키우던(?) 애완 돌 중 하나이다. 이름은 돌돌이.	\n정령들의 세상은 매일이 고요하고 평화롭다. 어제도, 오늘도, 내일도. 늘 보던 멋진 풍경, 늘 보던 아름다운 꽃, 늘 흐르는 시원한 강물. 정령 푸르도 늘 찾아오는 그 들판에 오늘도 홀로 앉아 바람에 흔들리는 꽃들의 춤사위를 구경한다.\n단 하나 어제와 달라진 것이 있었다면, 그것은 저 멀리서 다가오는 낯선 인영. 아마도 내일은 두 번 다시 어제와 같지 못할 것이라는 양, 느리지만 천천히 다가오는 발소리.\n푸르는 잔잔하지만 강렬한 파문을 일으키며 자신에게 다가오는 존재를 두 팔 벌려 환영했다.\n“안녕, 너는 누구야? 정령은 아닌 거 같은데… 혹시 사람이야?”\n“나는 정령 푸르라고 해! 사람은 처음 보는데, 어떻게 정령 세계에 온 거야? 신기하다~”\n먼저 말을 건네자 몹시 놀란 인간 청년에게 푸르는 아무렇지도 않다는 듯 웃는 얼굴로 말을 이었다. 그런 푸르의 태도에 청년도 조금이나마 마음을 열어본다.\n“나는… 네 말대로 사람이야. 너는, 정령? 그리고 여기는…… 정령들의 세계인 거야?”\n영문도 모른 채 도달해 버린 이상향, 혹은 낙원, 혹은 도원경, 또는 꿈 속의 아르카디아.\n비록 머리 속은 복잡할지언정 눈 앞에 목도한, 비현실적 절경과 한 작은 정령의 목적 없는 선의는 길 잃은 여행자를 어루만지기에 충분했다.\n“맞아! 여긴 정령 세계야. 참 예쁘지? 나는 이 들판에서 매일 꽃을 구경해.”\n“꽃 구경…? 꽃을 좋아해?”\n“응! 꽃은 예쁘고, 향기롭고, 우아하고, 또… 예쁘잖아! 헤헤. 너도 꽃이 좋아?”\n“…싫어하진 않아.”\n“그럼 같이 저 쪽에 가 볼래? 나만 아는 곳인데, 엄청 신기한 꽃이 있어!”\n그 날, 흩날리는 꽃잎 사이에서 얻게 된 것은 반복되는 일상의 완연히 해체. 달리 말해 만남, 혹은 인연, 또는 친구라 불리는 것.\n\n\n
2	g_socks	푸르의 양말	푸르가 가지고 다니던 양말이다. 누구의 것인지는 몰라도 푸르의 발 보다는 훨씬 크다. 크리스마스 트리에 걸어도 될 정도.	\n친구가 된 작은 정령과 인간 청년은 그렇게 한참을 걸었다.\n청년은 재잘거리는 푸르의 수다소리를 들으며 정령 세계의 풍경을 두 눈에 담았다.\n사람의 심상을 진감케 하는, 그 무엇보다 아름답고 그 무엇보다 숭고한 정경은 정령 세계의 방랑자인 청년에게 하나의 운율로서 조용히 스며들었다.\n청년은 본디, 시인이었다. 시인이란, 이 세상 모든 것을 글로서 논하는 사람.\n세상만사의 아름다움도, 슬픔도, 고통도, 즐거움도. 마음에서 우러나온 줄글로 빚어내는 사람.\n청년은 본인의 세상의 것이 아닌, 새로운 세상의 풍경도 문자들로 표현해보고자 하였다.\n“자, 여기야! 어때? 신기하지?”\n“이렇게 큰 꽃이 있다니… 정말 예쁘네.”\n“헤헤, 아직 놀라긴 일러. 정령 세계에는 더 재밌고 신기한 게 많아!”\n“그렇다면 나를 그곳들로 안내해 줄래?”\n더 보고 싶다. 하나라도 더 눈에 담고 싶다. 이 신비한 세계의 아름다움을.\n“정령 세계의 이곳저곳을 둘러보고 나서, 시를 쓰고 싶어.”\n“시? 그게 뭔지는 잘 모르겠지만… 좋아, 데려가 줄게! 마침 나도 심심했거든~”\n작은 정령과 시인 청년은 발걸음을 잠시 멈추었다가, 다시 앞으로 나아갔다. \n
3	g_galpi	푸르의 꽃갈피	꽃잎을 말려서 만들어진 책갈피다. 꽤 오래 썼는지 군데군데 구겨진 자국이 있지만 애지중지했는지 보관 상태는 매우 양호하다.	\n세상 어디에서 엿보던들\n꽃이 어여쁨은 자명하고\n \n어떤 절경을 마주대한들\n항상 나에게 미소지으니\n \n그저 아름다움에 사무쳐/평생 그리워함이 옳구나.\n \n“무슨 뜻이야?”\n작은 정령이 천진하게 묻는다.\n“무슨 뜻인 것 같아?”\n“음… 잘 모르겠어! 알려줘~”\n멀뚱멀뚱 쳐다보는 정령의 눈망울을 바라보며 시인은 웃는다.\n“시는 받아들이는 사람에 따라 뜻이 달라져. 시를 쓴 시인 본인의 의도가 꼭 정답인 건 아니지.”\n“그런가? 잘 모르겠지만… 마음에 들어!”\n“어떤 부분이?”\n“잘 이해는 안 되지만, 꽃이 예쁘다는 뜻인 거 같아서! 헤헤.”\n“네가 그렇게 생각한다면, 그 뜻이 맞을 거야.”\n
4	g_sonsu	푸르의 손수건	푸르가 누군가에게 선물받은 손수건이다. 꽤 아끼는지 직접 사용하지는 않고 가지고만 있다.	\n함께 앞으로, 또 앞으로 나아가던 정령과 시인은 마침내 최종 목적지에 도달했다.\n“고마워, 푸르. 네가 없었다면 여기까지 오지 못했을 거야.”\n“응? 에이, 나는 그냥 심심해서 따라왔을 뿐인걸. 오래 걸렸지만 재밌었어!”\n그들은 정령 세계에서 가장 큰 폭포도, 하늘 위에 떠 있는 섬도, 가장 거대한 나무도, 가장 넓은 꽃밭도, 그 모든 아름다운 정경을 눈에 담았다.\n“내가 안내해 달라고 하긴 했지만, 정말 다 가볼 수 있을까 반신반의했는데. 해냈네.”\n“맞아, 히히. 정말 대단해!”\n두 친구는 서로를 바라보며 한참을 웃었다. 그들은 이제 굳이 말로 하지 않아도 서로의 심상이 어떤 풍경을 하고 있을지 너무도 잘 알고 있었다.\n하지만 애석하게도, 여정은 결국에는 끝을 맞이하는 법이다. 끝이 정해진 길의 마지막에 다다른 사람처럼, 시인은 직감적으로 알 수 있었다. 이 곳이 바로 자신의 종착지가 될 것이라고.\n“사실 너한테 말 안 한 장소가 하나 있어. 지금까지 갔던 데도 물론 예쁘지만, 여기는 내가 제일 좋아하는 곳이야!”\n푸르는 장난스러운 표정으로 그동안 시인에게 숨겨왔던 장소를 알려 주기로 했다. 여정이 끝에 다다랐을 때의 깜짝 선물로 아끼던 곳이었다.\n“푸르… 난…… 오늘이 정령 세계에서의 마지막이 될 거야. 같이 못 가서 미안해.”\n마지막이라는 말의 의미를, 정령은 쉽사리 이해하지 못했다. 그들은 오래 살고, 하고자 하는 것을 반복할 수 있는 능력도 갖추고 있다. 푸르는 여행 도중 시인에게 들었던 이해 못할 말을 무심코 떠올렸다. 끝, 마지막, 죽음, 최후, 필멸, 유한.\n당혹스러워하는 푸르에게 시인은 자신의 손수건을 쥐어 준다. 꽃 모양 자수가 새겨진, 새하얀 손수건이다.\n“내 손수건을 줄게. 아마 나는 인간 세계로 돌아가게 될 거야. 다신 못 올지도 몰라. 하지만 우리 인연은 여기서 끝나지 않을 거야. 꼭 다시 만나서 돌려줘.”\n다음 날 아침 푸르가 일어나 보니 그의 친구는 온데간데없었다.\n작은 정령의 마음 속 파문이 점점 잦아들더니, 다시금 쥐 죽은 듯 고요해졌다.\n
5	g_mug	푸르의 머그컵	푸르가 매일 아침 차를 마시는 데 쓰는 머그컵이다. 컵에 귀여운 꽃 그림이 그려져 있다.	\n“뭘 마시고 있어?”\n아침 바람이 조심스레 불어온다. 시원하지만, 춥지는 않다. 꽃들이 휘날리지만, 다치지 않도록 어루만진다.\n“이건 커피야. 아까 저쪽에서 커피 나무 비슷한 걸 봤는데, 향이랑 맛도 비슷하더라고.”\n“커피? 처음 들어봐! 나도 마셔볼래~”\n“그래. 뜨거우니까 천천히 마셔봐.”\n푸르는 겁도 없이 처음 보는 까만 물을 들이켰다. 그 어떤 차에서도 맡을 수 없던 씁쓸한 향과 맛이 입안 가득 퍼졌다.\n“윽…… 써…! 나 이거 안 마실래…”\n“하하하, 너한테는 좀 쓴 모양이구나. 그럼 넌 아침에 뭘 마셔?”\n“나는 물을 끓인 다음 꽃잎을 넣어서 마셔! 달콤하고 향긋해서 마시면 몸이 나른해져.”\n“꽃차구나. 나도 마셔보고 싶은 걸.”\n“정말? 그럼 바로 끓여 줄게! 일단 꽃잎이랑, 어… 내 컵이 어딨더라…?”\n서로가 서로의 온기를 공유하며, 두 친구는 오늘도 떠오르는 아침 햇살을 맞이했다.\n
6	g_banch	푸르의 반창고	푸르가 가지고 다니는 반창고다. 정령은 물리적으로 다치지는 않지만, 가끔 꽃 줄기가 상처를 입거나 하면 붙여주기 위해 가지고 다닌다.	\n정령들의 세상은 매일이 고요하고 평화롭다. 어제도, 오늘도, 내일도. 늘 보던 멋진 풍경, 늘 보던 아름다운 꽃, 늘 흐르는 시원한 강물. 정령 푸르도 늘 찾아오는 그 들판에 홀로 앉아있었다.\n예전부터 푸르는 늘 혼자였다. 홀로 앉아 예쁜 꽃을 바라보는 것이 가장 좋았다. 다른 정령들이 놀자고 그를 불러도, 푸르는 늘 거절하고 꽃밭이 내려다보이는 들판으로 향했다.\n들판은 언제나 푸르른 꽃과 초목이 가득한 채로 푸르를 환영해 주었다.\n헌데 오늘의 들판은, 어딘가 달랐다. 들판은 더 이상 푸르 혼자만의 장소가 아니었다.\n처음으로 만난 인간. 많은 면이 달랐지만 그렇기에 서로 더욱 마음을 터 놓을 수 있었던, 진정한 친구를 만난 추억이 서려 있었다.\n이제 푸르 혼자서는 이 들판을 온전히 바라볼 수 없었다.\n홀로 남은 작은 정령은 외로웠다.\n푸르는 시인이 주고 떠난 손수건을 바라봤다. 그가 좋아하는 꽃이 자수로 새겨진, 친구와의 약속의 물건.\n마침내 푸르는 결심했다. 시인이 자신의 세계에 와주었으니, 이번에는 자신이 그를 찾아 갈 차례라고.\n비록 정령 세계에서 인간 세계로 넘어갈 수 있는 방법이 있는지도 몰랐지만, 푸르는 꼭 방법을 찾아 낼 것이다. 그것이 친구와의 약속이었으니까.\n
7	g_sajun	푸르의 꽃 사전	푸르가 모르는 꽃을 발견하거나 심심할 때 읽는 꽃 사전이다. 페이지 중간중간 푸르가 그려놓은 낙서가 있다.	\n“이 꽃은… 이름이 뭐야?”\n“이 꽃? 음… 미안, 사실 꽃 이름은 잘 몰라. 헤헤…”
8	g_tulsil	푸르의 털실	푸르가 제일 좋아하는 장난감이다. 자주 가지고 놀아서 군데군데 얼룩이 있지만 여전히 푹신하고 말랑한 촉감을 자랑한다.	\n작은 정령은 길다면 길고 짧다면 짧은 시간 동안 인간 세계로 갈 방법을 찾아 헤맸다.\n하지만 한 세계에 속한 존재가 다른 세계로 넘어간다는 것 자체가 쉽지 않은 일. 푸르가 시인을 만날 수 있었던 것도 정말 낮은 확률의 순전한 우연이었다.\n그렇지만 방법이 없지는 않았다. 머나먼 과거, 정령들은 인간 세계에 자주 왕래했다고 한다. 푸르는 지금은 잊혀진, 인간 세계로 향할 방법을 찾아내 즉시 실행에 옮겼다.\n처음으로 와 본 인간 세계는 푸르른 정령 세계와는 사뭇 달랐다. 높은 건물들로 둘러싸인 회색빛 도시의 한복판에서 푸르는 친구를 찾아 나섰다.\n정령 세계에서 시인과 함께했던 시간동안 익숙해진, 친구의 기운이 느껴지는 곳으로.\n그렇게 얼마나 걸었을까. 도시가 벌판으로 바뀌고, 다시 도시가 나오고, 엄청나게 넓은 바다를 따라 모래사장을 걷고 또 걷고. 마침내 푸르는 친구가 사는 집에 도착했다.\n열려 있는 창문으로 들어간 푸르의 앞에 그가 의자에 앉아 있었다. 그때 그 들판에서 만났던, 시인 청년. 그의 하나뿐인 친구.\n“너는… 푸르가 아니냐?!”\n“여기 있었구나!! 진짜 오랜만이네! 잘 지냈어?”\n시인은 몹시 놀라 의자에서 벌떡 일어났다가, 다리에 힘이 풀려 다시 풀썩 주저앉았다.\n“네가 보이는 걸 보니 내가 갈 때가 된 것 같구나. 허허.”\n시인 청년은 더 이상 청년이 아니었다. 푸르는 인간 세계로 올 방법을 찾고, 인간 세계로 와서 친구를 찾는 시간 동안 하나도 변하지 않았지만, 그 시간은 한 청년이 늙고 병든 백발의 노인이 되기에 충분한 시간이었다.\n“응? 어디 가? 나랑 안 놀아주고?”\n“사람은 시간이 지나면 응당 가야 할 곳으로 가야 한단다. 그 옛날 우리가 작별했던 것 처럼 말이지.”\n“그치만… 약속했잖아, 다시 만나기로. 나는 우리가 다시 만나면 이번에는 인간 세계 여행을 떠나려고 했는데……”\n시인은 푸르가 꺼내 보인 손수건을 보고 다시 한번 놀람을 금치 못했다. 새하얀, 꽃 모양 자수가 새겨진, 그들의 약속의 증표.\n
9	g_suchup	푸르의 수첩 종이	푸르를 처음 만났을 때 푸르가 가지고 있던 수첩의 한 페이지다. 어떤 절경을 주제로 쓴 시가 써 있다. 잉크가 바래서 군데군데 알아보기 힘들다.	\n“그래서 어떻게 됐냐면… 엄청나게 물이 많은 곳이 있었어! 내가 서 있는 곳에서 반대편 저~ 끝까지 전부 물이더라. 엄청 신기했어!”\n“허허, 바다를 본 게로구나.”\n시인은 잘 분간이 되지 않았다. 지금 눈 앞에서 재잘대고 있는 푸르가 진짜 정령인지. 아니면 그저 그의 삶 마지막 순간에 가장 찬란했던 기억의 편린이 만들어 낸 허상에 불과한지.\n하지만 확실한 것은, 그는 자신의 친구였다. 자신이 준 손수건을 간직한 채로, 수 십년의 시간이 걸려 재회한. 그의 둘도 없는 친구.\n“그래서, 인간 세계의 꽃은 좀 마음에 들었니?”\n“응! 역시 꽃은 어딜 가나 예쁘더라~ 내가 제일 좋아하는 장미도 많았어!”\n“그랬구나… 나는 네가 실망할까봐 걱정했단다. 콜록, 콜록.”\n“인간 세계도 재밌고 신기한게 엄청 많던데? 이번에는 네가 나를 안내해 주는 여행을 떠나자! 진짜 재밌을 거 같아~”\n“푸르……”\n정령들은 유한한 목숨이라는 개념이 없다. 살 날이 얼마 남지 않은 시인은 푸르가 자신이 죽으면 자신을 찾아 인간 세계를 헤메일까 걱정이 앞섰다.\n“미안하지만, 나는 곧 다른 곳으로 여행을 떠날 것 같구나.”\n“응? 어디로? 그럼 나도 같이 가자!”\n“푸르 너는 올 수 없는 곳이란다. 오직 인간만이 갈 수 있지. 모처럼 찾아와 줬는데, 정작 내가 약속을 어겨 미안하구나.”\n“같이 못 가는 거야?”\n“아쉽지만 그렇단다. 하지만 내 친구 푸르, 나는 언제나 너를 잊지 않고 기억할 테니, 너도 그리 해주렴. 알겠지?”\n“응! 알겠어…”\n“그럼 미안하지만 또다시 작별을 고해야 할 것 같구나. 짧은 시간이나마… 행복했단다.”\n시인은 푸르를 향해 미소지으며 천천히 눈을 감았다. 두 번 다시 뜨는 일 없이 굳게.\n
10	g_ggot	꽃 한송이	푸르가 소중하게 보관해 온 장미꽃 한송이다. 이미 꺾였음에도 불구하고 신기하게 시들지 않는다.	\n푸르는 잘 이해가 되지 않았다.\n오랜만에 만난 친구와 또 다시 작별을 해야 하는 것도, 어째서 친구가 자신에게 시를 쓰던 수첩을 주며 다시 정령 세계로 돌아가라 했는지도. 아까 전부터 눈을 감은 채로 미동이 없는 이유도.\n하지만 한 가지는 확실히 알 수 있었다. 오늘이 친구와의 마지막 만남이 될 것이라는 걸. 이유는 몰라도 그럴 겉 같다는 느낌이 들었다. 문득 쓸쓸함이 굽이치며 밀려들었다.\n푸르는 마음만 먹으면 다시 정령 세계로 돌아갈 수 있었다. 하지만 그렇게 하고 싶지 않았다. 자신의 친구가 살던 이 세계를 더욱 눈에 담고 싶었다.\n푸르는 친구의 수첩을 챙겨 인간 세계를 정처 없이 떠돌기 시작했다. 수첩에 적혀 있는 시는 여전히 잘 이해가 되지 않았지만 몇몇 시는 한 글자 한 글자가 너무도 사무쳤다. 이별과 슬픔에 관한 시였다.\n그렇게 작은 정령은 걷고 또 걸었다.\n어째서인지 올 때 보다 한걸음 한걸음이 무거웠다. 이대로 가만히 누워 쉬고 싶었다.\n푸르는 걷던 중 길가에 놓인 한 화분을 보았다. 아직 잎사귀도 피어나지 않은 화분이었지만, 훗날 꽃이 될 무언가가 피어날 기미가 보였다.\n저 화분의 꽃은 뭘까? 자신과 친구가 정령 세계에서 본 꽃들 중 하나일까? 아니면 한번도 보지 못했던 새로운 종류의 꽃일까? 만약 그렇다면 어떤 이름일까?\n그런 생각을 하며 푸르는 화분 옆에 조심스레 누웠다. 지금은 아무 생각도 없이 그저 쉬고 싶었다.\n조용히 눈을 감은 작은 정령에게 물방울 한 방울이 툭 떨어지더니, 곧 빗방울이 되어 쏟아지기 시작했다.\n언젠가 친구와 함께 비를 맞은 적이 있었는데. 푸르는 생각했다. 그 땐 참 시원했었다고.\n홀로 맞는 빗방울은 그저 차기만 했다.\n\n
