<테마 번호>	<테마 이름>	<가구 번호>	<가구명>	<가구플레이버텍스트>	<등급>	<레이어>	<아이콘>	<가구이미지>	<확률>	<가루>	<필요가루>
0	푸르의 공방	0	따뜻한 정령세계 풍경	푸르가 있던 정령화원의 풍경을 신비한 힘으로 담아왔다 저 멀리 꽃향기가 사근사근 들어온다	4	1	potion_window2_icon	potion_window2	4	300	600
0	푸르의 공방	1	따뜻한 정령 화원의 창문	푸르가 있던 집의 창문이다. 저 멀리 풍경도 같이 있으면 좋을 텐데...	4	2	potion_window_icon	potion_window	4	300	600
0	푸르의 공방	2	푸르의 포션공방 벽	정령 세계에서 푸르가 썼던 포션 공방의 벽이다. 무언가 더 배치되어야 그때의 기분을 느낄 수 있을 것 같다.	3	-1	potion_wall_icon	potion_wall	11	100	200
0	푸르의 공방	3	올망졸망 토끼 화분	푸르의 친구 깡총이가 준 화분이 담긴 의자다. 신비로운 향기가 난다.	3	4	potion_chair02_icon	potion_chair02	11	100	200
0	푸르의 공방	4	깔끔한 폭신 의자	쿠션감이 좋은 녹색 의자, 푸르가 대학교에서 애용했던 가구다.	3	4	potion_chair01_icon	potion_chair01	11	100	200
0	푸르의 공방	5	복잡한 포션학 책	푸르가 읽다 버린 포션학 책, 지금도 푸르가 보면 경기를 일으킨다.	4	4	potion_book_icon	potion_book	4	300	600
0	푸르의 공방	6	단단한 원목 지붕	든든한 목재 지붕이다. 이거 없다고 화분이 무너질리는 없겠지만 더욱 아늑한 느낌을 준다.	3	2	potion_roof_icon	potion_roof	11	100	200
0	푸르의 공방	7	푸르의 포션공방 바닥	정령목으로 만들어진 바닥이다. 먹먹하게 단 나무 향이 난다.	3	-2	potion_floor_icon	potion_floor	11	100	200
0	푸르의 공방	8	풀내음이 나는 덩쿨	정령 세계의 덩쿨이 오손도손 피어있는 지붕이다. 몇몇 덩쿨에 꽃이 펴서 향긋한 향이 머무른다.	4	3	potion_vine_icon	potion_vine	4	300	600
0	푸르의 공방	9	향긋한 허브 보따리	건강에도 좋고 아름다운 향기가 나는 허브는 다 모아 놓은 보따리. 몰래 훔쳐가고 싶다.	4	5	potion_pack_icon	potion_pack	4	300	600
0	푸르의 공방	10	이상한 연금술 선반	푸르가 정령 세계에서 자주 만들었던 디퓨저 3종이다. 일부러 조금 수상하게 담겨있다.	3	4	potion_shelf2_icon	potion_shelf2	11	100	200
0	푸르의 공방	11	아담한 밥그릇 화분	대충 아무 풀이나 가져 심은 것 같은 밥그릇 화분이다.	3	4	potion_shelf_icon	potion_shelf	11	100	200
0	푸르의 공방	12	포션 제작을 위한 원목 거치대	포션 제작을 위한 원목 거치대이다. 놓여있는 연금술 물품과 백과사전들을 보면 푸르의 끔찍한 과거를 추측할 수 있다.	5	3	potion_desk_icon	potion_desk	1	500	1000
