[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
1	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	1	230.0	500	1200	0	0	0
2	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	2	240.0	520	1250	0	0	0
3	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	3	250.0	540	1300	0	0	0
4	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	4	260.0	560	1350	0	0	0
5	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	5	270.0	580	1400	0	0	0
6	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	6	280.0	600	1450	0	0	0
7	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	7	290.0	620	1500	0	0	0
8	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	8	300.0	640	1550	0	0	0
9	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	9	310.0	660	1600	0	0	0
10	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	10	320.0	680	1650	0	0	0
11	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	1	730.0	1500	11100	1	1	1
12	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	2	740.0	1520	11200	1	1	1
13	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	3	750.0	1540	11300	1	1	1
14	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	4	760.0	1560	11400	1	1	1
15	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	5	770.0	1580	11500	1	1	1
16	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	6	780.0	1600	11600	1	1	1
17	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	7	790.0	1620	11700	1	1	1
18	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	8	800.0	1640	11800	1	1	1
19	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	9	810.0	1660	11900	1	1	1
20	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	10	820.0	1680	12000	1	1	1
21	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	1	1230.0	2500	19100	2	2	2
