[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	1	7.0		200
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	2	14.0		250
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	3	21.0		300
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	4	28.0		350
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	5	35.0		400
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	6	42.0		450
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	7	49.0		500
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	8	56.0		550
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	9	63.0		600
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	10	70.0		650
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	1		55	700
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	2		60	750
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	3		65	800
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	4		70	850
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	5		75	900
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	6		80	950
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	7		85	1000
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	8		90	1050
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	9		95	1100
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	10		100	1150
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	1	77.0		1200
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	2	84.0		1250
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	3	91.0		1300
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	4	98.0		1350
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	5	105.0		1400
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	6	112.0		1450
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	7	119.0		1500
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	8	126.0		1550
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	9	133.0		1600
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	10	140.0		1650
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	1		105	1700
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	2		110	1750
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	3		115	1800
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	4		120	1850
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	5		125	1900
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	6		130	1950
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	7		135	2000
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	8		140	2050
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	9		145	2100
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	10		150	2150
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	1	147.0		2200
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	2	154.0		2250
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	3	161.0		2300
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	4	168.0		2350
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	5	175.0		2400
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	6	182.0		2450
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	7	189.0		2500
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	8	196.0		2550
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	9	203.0		2600
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	10	210.0		2650
