[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>	(함수용)
1	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	1	30.0	100	200	0	0	0	1
2	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	2	40.0	120	250	0	0	0	1
3	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	3	50.0	140	300	0	0	0	1
4	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	4	60.0	160	350	0	0	0	1
5	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	5	70.0	180	400	0	0	0	1
6	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	6	80.0	200	450	0	0	0	1
7	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	7	90.0	220	500	0	0	0	1
8	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	8	100.0	240	550	0	0	0	1
9	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	9	110.0	260	600	0	0	0	1
10	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	10	120.0	280	650	0	0	0	1
11	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	1	130.0	300	700	0	0	0	1
12	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	2	140.0	320	750	0	0	0	1
13	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	3	150.0	340	800	0	0	0	1
14	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	4	160.0	360	850	0	0	0	1
15	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	5	170.0	380	900	0	0	0	1
16	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	6	180.0	400	950	0	0	0	1
17	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	7	190.0	420	1000	0	0	0	1
18	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	8	200.0	440	1050	0	0	0	1
19	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	9	210.0	460	1100	0	0	0	1
20	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	10	220.0	480	1150	0	0	0	1
21	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	1	230.0	500	1200	0	0	0	1
22	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	2	240.0	520	1250	0	0	0	1
23	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	3	250.0	540	1300	0	0	0	1
24	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	4	260.0	560	1350	0	0	0	1
25	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	5	270.0	580	1400	0	0	0	1
26	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	6	280.0	600	1450	0	0	0	1
