[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>	(함수용)
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	1	30.0	100	200	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	2	40.0	120	250	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	3	50.0	140	300	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	4	60.0	160	350	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	5	70.0	180	400	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	6	80.0	200	450	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	7	90.0	220	500	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	8	100.0	240	550	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	9	110.0	260	600	0	0	0	1
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	10	120.0	280	650	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	1	130.0	300	700	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	2	140.0	320	750	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	3	150.0	340	800	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	4	160.0	360	850	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	5	170.0	380	900	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	6	180.0	400	950	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	7	190.0	420	1000	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	8	200.0	440	1050	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	9	210.0	460	1100	0	0	0	1
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	1	10	220.0	480	1150	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	1	230.0	500	1200	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	2	240.0	520	1250	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	3	250.0	540	1300	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	4	260.0	560	1350	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	5	270.0	580	1400	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	6	280.0	600	1450	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	7	290.0	620	1500	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	8	300.0	640	1550	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	9	310.0	660	1600	0	0	0	1
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	1	10	320.0	680	1650	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	1	330.0	700	1700	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	2	340.0	720	1750	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	3	350.0	740	1800	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	4	360.0	760	1850	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	5	370.0	780	1900	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	6	380.0	800	1950	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	7	390.0	820	2000	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	8	400.0	840	2050	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	9	410.0	860	2100	0	0	0	1
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	10	420.0	880	2150	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	1	430.0	900	2200	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	2	440.0	920	2250	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	3	450.0	940	2300	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	4	460.0	960	2350	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	5	470.0	980	2400	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	6	480.0	1000	2450	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	7	490.0	1020	2500	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	8	500.0	1040	2550	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	9	510.0	1060	2600	0	0	0	1
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	10	520.0	1080	2650	0	0	0	1
