[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
1	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	1	430.0	900	2200	0	0	0
2	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	2	440.0	920	2250	0	0	0
3	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	3	450.0	940	2300	0	0	0
4	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	4	460.0	960	2350	0	0	0
5	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	5	470.0	980	2400	0	0	0
6	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	6	480.0	1000	2450	0	0	0
7	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	7	490.0	1020	2500	0	0	0
8	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	8	500.0	1040	2550	0	0	0
9	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	9	510.0	1060	2600	0	0	0
10	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	1	10	520.0	1080	2650	0	0	0
11	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	1	930.0	1900	14100	1	1	1
12	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	2	940.0	1920	14200	1	1	1
13	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	3	950.0	1940	14300	1	1	1
14	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	4	960.0	1960	14400	1	1	1
15	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	5	970.0	1980	14500	1	1	1
16	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	6	980.0	2000	14600	1	1	1
17	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	7	990.0	2020	14700	1	1	1
18	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	8	1000.0	2040	14800	1	1	1
19	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	9	1010.0	2060	14900	1	1	1
20	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	10	1020.0	2080	15000	1	1	1
21	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	1	1430.0	2900	22100	2	2	2
22	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	2	1440.0	2920	22200	2	2	2
23	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	3	1450.0	2940	22300	2	2	2
24	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	4	1460.0	2960	22400	2	2	2
25	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	5	1470.0	2980	22500	2	2	2
26	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	6	1480.0	3000	22600	2	2	2
27	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	7	1490.0	3020	22700	2	2	2
28	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	8	1500.0	3040	22800	2	2	2
29	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	9	1510.0	3060	22900	2	2	2
30	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	10	1520.0	3080	23000	2	2	2
31	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	1	1930.0	3900	27100	3	3	3
32	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	2	1940.0	3920	27200	3	3	3
33	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	3	1950.0	3940	27300	3	3	3
34	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	4	1960.0	3960	27400	3	3	3
35	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	5	1970.0	3980	27500	3	3	3
36	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	6	1980.0	4000	27600	3	3	3
37	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	7	1990.0	4020	27700	3	3	3
38	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	8	2000.0	4040	27800	3	3	3
39	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	9	2010.0	4060	27900	3	3	3
40	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	10	2020.0	4080	28000	3	3	3
41	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	1	2430.0	4900	32100	4	4	4
42	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	2	2440.0	4920	32200	4	4	4
43	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	3	2450.0	4940	32300	4	4	4
44	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	4	2460.0	4960	32400	4	4	4
45	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	5	2470.0	4980	32500	4	4	4
46	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	6	2480.0	5000	32600	4	4	4
47	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	7	2490.0	5020	32700	4	4	4
48	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	8	2500.0	5040	32800	4	4	4
49	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	9	2510.0	5060	32900	4	4	4
50	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	10	2520.0	5080	33000	4	4	4
