레벨	단계	꽃 이미지	필요 성장치	총 성장치	자동 성장치 생산량(1분)	자동 성장치 생산량(최대)	이슬 생산량(10분)	이슬 생산량(최대)	플레이버 텍스트
1	1	default-1	30	30	0	0	0	0	
2	1	default-1	30	60	0	0	0	0	
3	1	default-1	30	90	0	0	0	0	
4	1	default-1	30	120	0	0	0	0	
5	1	default-1	30	150	0	0	0	0	
6	2	default-2	30	180	0	0	0	0	
7	2	default-2	30	210	0	0	0	0	
8	2	default-2	30	240	0	0	0	0	
9	2	default-2	30	270	0	0	0	0	
10	2	default-2	30	300	0	0	0	0	
11	3	default-3	30	330	0.3	120	20	800	
12	3	default-3	60	390	0.4	160	27	1080	
13	3	default-3	90	480	0.5	200	34	1360	
14	3	default-3	120	600	0.6	240	41	1640	
15	3	default-3	150	750	0.7	280	48	1920	
16	3	default-3	180	930	0.8	320	55	2200	
17	3	default-3	210	1140	0.9	360	62	2480	
18	3	default-3	240	1380	1	400	69	2760	
19	3	default-3	270	1650	1.1	440	76	3040	
20	3	default-3	300	1950	1.2	480	83	3320	
21	4	default-4	340	2290	1.3	520	90	3600	
22	4	default-4	380	2670	1.4	560	97	3880	
23	4	default-4	420	3090	1.5	600	104	4160	
24	4	default-4	460	3550	1.6	640	111	4440	
25	4	default-4	500	4050	1.7	680	118	4720	
26	4	default-4	540	4590	1.8	720	125	5000	
27	4	default-4	580	5170	1.9	760	132	5280	
28	4	default-4	620	5790	2	800	139	5560	
29	4	default-4	660	6450	2.1	840	146	5840	
30	4	default-4	700	7150	2.2	880	153	6120	
31	5	default-5	760	7910	2.3	920	160	6400	
32	5	default-5	820	8730	2.4	960	167	6680	
33	5	default-5	880	9610	2.5	1000	174	6960	
34	5	default-5	940	10550	2.6	1040	181	7240	
35	5	default-5	1000	11550	2.7	1080	188	7520	
36	5	default-5	1060	12610	2.8	1120	195	7800	
37	5	default-5	1120	13730	2.9	1160	202	8080	
38	5	default-5	1180	14910	3	1200	209	8360	
39	5	default-5	1240	16150	3.1	1240	216	8640	
40	5	default-5	1300	17450	3.2	1280	223	8920	
41	6	default-6	3100	20550	3.3	1320	230	9200	
42	6	default-6	3200	23750	3.4	1360	237	9480	
43	6	default-6	3300	27050	3.5	1400	244	9760	
44	6	default-6	3400	30450	3.6	1440	251	10040	
45	6	default-6	3500	33950	3.7	1480	258	10320	
46	6	default-6	3600	37550	3.8	1520	265	10600	
47	6	default-6	3700	41250	3.9	1560	272	10880	
48	6	default-6	3800	45050	4	1600	279	11160	
49	6	default-6	3900	48950	4.1	1640	286	11440	
50	6	default-6	4000	52950	4.2	1680	293	11720	
51	7	default-7	4100	57050	4.3	1720	300	12000	
52	7	default-7	4200	61250	4.4	1760	307	12280	
53	7	default-7	4300	65550	4.5	1800	314	12560	
54	7	default-7	4400	69950	4.6	1840	321	12840	
55	7	default-7	4500	74450	4.7	1880	328	13120	
56	7	default-7	4600	79050	4.8	1920	335	13400	
57	7	default-7	4700	83750	4.9	1960	342	13680	
58	7	default-7	4800	88550	5	2000	349	13960	
59	7	default-7	4900	93450	5.1	2040	356	14240	
60	7	default-7	5000	98450	5.2	2080	363	14520	
61	8	default-8	5100	103550	5.3	2120	370	14800	
62	8	default-8	5200	108750	5.4	2160	377	15080	
63	8	default-8	5300	114050	5.5	2200	384	15360	
64	8	default-8	5400	119450	5.6	2240	391	15640	
65	8	default-8	5500	124950	5.7	2280	398	15920	
66	8	default-8	5600	130550	5.8	2320	405	16200	
67	8	default-8	5700	136250	5.9	2360	412	16480	
68	8	default-8	5800	142050	6	2400	419	16760	
69	8	default-8	5900	147950	6.1	2440	426	17040	
70	8	default-8	6000	153950	6.2	2480	433	17320	
71	9	default-9	6100	160050	6.3	2520	440	17600	
72	9	default-9	6200	166250	6.4	2560	447	17880	
73	9	default-9	6300	172550	6.5	2600	454	18160	
74	9	default-9	6400	178950	6.6	2640	461	18440	
75	9	default-9	6500	185450	6.7	2680	468	18720	
76	9	default-9	6600	192050	6.8	2720	475	19000	
77	9	default-9	6700	198750	6.9	2760	482	19280	
78	9	default-9	6800	205550	7	2800	489	19560	
79	9	default-9	6900	212450	7.1	2840	496	19840	
80	9	default-9	7000	219450	7.2	2880	503	20120	
81	10	default-10	7100	226550	7.3	2920	510	20400	
82	10	default-10	7200	233750	7.4	2960	517	20680	
83	10	default-10	7300	241050	7.5	3000	524	20960	
84	10	default-10	7400	248450	7.6	3040	531	21240	
85	10	default-10	7500	255950	7.7	3080	538	21520	
86	10	default-10	7600	263550	7.8	3120	545	21800	
87	10	default-10	7700	271250	7.9	3160	552	22080	
88	10	default-10	7800	279050	8	3200	559	22360	
89	10	default-10	7900	286950	8.1	3240	566	22640	
90	10	default-10	8000	294950	8.2	3280	573	22920	
