레벨	단계	꽃 이미지	필요 성장치	총 성장치	자동 성장치 생산량(1분)	자동 성장치 생산량(최대)	이슬 생산량(10분)	이슬 생산량(최대)
1	1	default-1	0	0	0	0	0	0
2	2	default-2	0	0	0	0	0	0
3	3	default-3	30	30	0.3	120	20	800
4	3	default-3	60	90	0.4	160	27	1080
5	3	default-3	90	180	0.5	200	34	1360
6	3	default-3	120	300	0.6	240	41	1640
7	3	default-3	150	450	0.7	280	48	1920
8	3	default-3	180	630	0.8	320	55	2200
9	3	default-3	210	840	0.9	360	62	2480
10	3	default-3	240	1080	1	400	69	2760
11	3	default-3	270	1350	1.1	440	76	3040
12	3	default-3	300	1650	1.2	480	83	3320
13	4	default-4	340	1990	1.3	520	90	3600
14	4	default-4	380	2370	1.4	560	97	3880
15	4	default-4	420	2790	1.5	600	104	4160
16	4	default-4	460	3250	1.6	640	111	4440
17	4	default-4	500	3750	1.7	680	118	4720
18	4	default-4	540	4290	1.8	720	125	5000
19	4	default-4	580	4870	1.9	760	132	5280
20	4	default-4	620	5490	2	800	139	5560
21	4	default-4	660	6150	2.1	840	146	5840
22	4	default-4	700	6850	2.2	880	153	6120
23	5	default-5	760	7610	2.3	920	160	6400
24	5	default-5	820	8430	2.4	960	167	6680
25	5	default-5	880	9310	2.5	1000	174	6960
26	5	default-5	940	10250	2.6	1040	181	7240
27	5	default-5	1000	11250	2.7	1080	188	7520
28	5	default-5	1060	12310	2.8	1120	195	7800
29	5	default-5	1120	13430	2.9	1160	202	8080
30	5	default-5	1180	14610	3	1200	209	8360
31	5	default-5	1240	15850	3.1	1240	216	8640
32	5	default-5	1300	17150	3.2	1280	223	8920
33	6	default-6	3100	20250	3.3	1320	230	9200
34	6	default-6	3200	23450	3.4	1360	237	9480
35	6	default-6	3300	26750	3.5	1400	244	9760
36	6	default-6	3400	30150	3.6	1440	251	10040
37	6	default-6	3500	33650	3.7	1480	258	10320
38	6	default-6	3600	37250	3.8	1520	265	10600
39	6	default-6	3700	40950	3.9	1560	272	10880
40	6	default-6	3800	44750	4	1600	279	11160
41	6	default-6	3900	48650	4.1	1640	286	11440
42	6	default-6	4000	52650	4.2	1680	293	11720
43	7	default-7	4100	56750	4.3	1720	300	12000
44	7	default-7	4200	60950	4.4	1760	307	12280
45	7	default-7	4300	65250	4.5	1800	314	12560
46	7	default-7	4400	69650	4.6	1840	321	12840
47	7	default-7	4500	74150	4.7	1880	328	13120
48	7	default-7	4600	78750	4.8	1920	335	13400
49	7	default-7	4700	83450	4.9	1960	342	13680
50	7	default-7	4800	88250	5	2000	349	13960
51	7	default-7	4900	93150	5.1	2040	356	14240
52	7	default-7	5000	98150	5.2	2080	363	14520
53	8	default-8	5100	103250	5.3	2120	370	14800
54	8	default-8	5200	108450	5.4	2160	377	15080
55	8	default-8	5300	113750	5.5	2200	384	15360
56	8	default-8	5400	119150	5.6	2240	391	15640
57	8	default-8	5500	124650	5.7	2280	398	15920
58	8	default-8	5600	130250	5.8	2320	405	16200
59	8	default-8	5700	135950	5.9	2360	412	16480
60	8	default-8	5800	141750	6	2400	419	16760
61	8	default-8	5900	147650	6.1	2440	426	17040
62	8	default-8	6000	153650	6.2	2480	433	17320
63	9	default-9	6100	159750	6.3	2520	440	17600
64	9	default-9	6200	165950	6.4	2560	447	17880
65	9	default-9	6300	172250	6.5	2600	454	18160
66	9	default-9	6400	178650	6.6	2640	461	18440
67	9	default-9	6500	185150	6.7	2680	468	18720
68	9	default-9	6600	191750	6.8	2720	475	19000
69	9	default-9	6700	198450	6.9	2760	482	19280
70	9	default-9	6800	205250	7	2800	489	19560
71	9	default-9	6900	212150	7.1	2840	496	19840
72	9	default-9	7000	219150	7.2	2880	503	20120
73	10	default-10	7100	226250	7.3	2920	510	20400
74	10	default-10	7200	233450	7.4	2960	517	20680
75	10	default-10	7300	240750	7.5	3000	524	20960
76	10	default-10	7400	248150	7.6	3040	531	21240
77	10	default-10	7500	255650	7.7	3080	538	21520
78	10	default-10	7600	263250	7.8	3120	545	21800
79	10	default-10	7700	270950	7.9	3160	552	22080
80	10	default-10	7800	278750	8	3200	559	22360
81	10	default-10	7900	286650	8.1	3240	566	22640
82	10	default-10	8000	294650	8.2	3280	573	22920
