호감도 레벨	필요 호감도 경험치	총 호감도 경험치	기본애니메이션	상호작용애니메이션	대사시트단계
1	2	0	0	0	
2	2	2	0	1	
3	2	4	0	1	
4	2	6	0	1	
5	2	8	0	2	1
6	2	10	0	2	
7	2	12	0	2	
8	2	14	0	2	
9	2	16	0	2	
10	2	18	1	2	2
11	3	21	1	2	
12	3	24	1	2	
13	3	27	1	2	
14	3	30	1	2	
15	3	33	2	2	3
16	3	36	2	2	
17	3	39	2	2	
18	3	42	2	2	
19	3	45	2	2	
20	3	48	2	3	4
21	4	52	2	3	
22	4	56	2	3	
23	4	60	2	3	
24	4	64	2	3	
25	4	68	3	3	5
26	4	72	3	3	
27	4	76	3	3	
28	4	80	3	3	
29	4	84	3	3	
30	4	88	3	3	6
31	5	93	3	3	
32	5	98	3	3	
33	5	103	3	3	
34	5	108	3	3	
35	5	113	3	3	7
36	5	118	3	3	
37	5	123	3	3	
38	5	128	3	3	
39	5	133	3	3	
40	5	138	3	3	8
41	5	143	3	3	
42	5	148	3	3	
43	5	153	3	3	
44	5	158	3	3	
45	5	163	3	3	9
46	5	168	3	3	
47	5	173	3	3	
48	5	178	3	3	
49	5	183	3	3	
50	6	189	3	3	10
51	6	195	3	3	
52	6	201	3	3	
53	6	207	3	3	
54	6	213	3	3	
55	6	219	3	3	
56	6	225	3	3	
57	6	231	3	3	
58	6	237	3	3	
59	6	243	3	3	
60	6	249	3	3	
61	6	255	3	3	
62	6	261	3	3	
63	6	267	3	3	
64	6	273	3	3	
65	7	280	3	3	
66	7	287	3	3	
67	7	294	3	3	
68	7	301	3	3	
69	7	308	3	3	
70	7	315	3	3	
71	7	322	3	3	
72	7	329	3	3	
73	7	336	3	3	
74	7	343	3	3	
75	7	350	3	3	
76	7	357	3	3	
77	7	364	3	3	
78	7	371	3	3	
79	7	378	3	3	
80	8	386	3	3	
81	8	394	3	3	
82	8	402	3	3	
83	8	410	3	3	
84	8	418	3	3	
85	8	426	3	3	
86	8	434	3	3	
87	8	442	3	3	
88	8	450	3	3	
89	8	458	3	3	
90	8	466	3	3	
91	10	476	3	3	
92	10	486	3	3	
93	10	496	3	3	
94	10	506	3	3	
95	10	516	3	3	
96	10	526	3	3	
97	10	536	3	3	
98	10	546	3	3	
99	10	556	3	3	
100	10	566	3	3	
