Type	Level	Text
0	1	일어났어? 오늘 날씨가 엄청 맑아!
0	1	오늘도 열심히 꽃을 돌보자! 어디보자... 물뿌리개가 어딨더라?
0	1	배고파… 오늘 아침은 뭐 먹을거야?
0	1	하암... 5분만 더… 음냐……
0	1	밖이 환해졌어! 오늘은 뭐 하고 놀까?
0	2	신기한 꿈을 꿨어! 꽃이 엄청 커져서 구름까지 닿았어. 이 꽃도 그렇게 될 수 있을까?
0	3	밖에 저 사람들은 아침부터 뭐 하는거야? 놀러가나?
0	4	헤헤, 일찍 일어나면 착한 사람이라고 해서 일찍 일어났어. 잘했지?
0	5	뭐 마시는거야? 아하, 커피구나? 나는 그거 써서 별로더라...
0	6	안녕! 어, 너 표정이 왜 그래? 피곤하다고? 상쾌한 게 아니고?
0	7	그거 알아? 이 꽃은 아침에 더 활짝 핀다? 꽃도 아침이 좋은가봐!
0	8	이 꽃, 어제보다 좀 커진 거 같지 않아? 잘 모르겠다고? 에이, 자세히 봐봐!
0	9	아침에는 왜 별이 안보일까? 태양이 다 가려버렸다고? 그렇게 큰거야!?
0	10	아침이 왜 좋나고? 그야 해가 뜨잖아! 해가 뜨면 꽃이 좋아해!!
1	1	햇볕이 엄청 쨍쨍해졌어!
1	1	이런 화창한 날에는 낮잠이 최고지~
1	1	배부르게 먹어서 졸려...
1	1	볕이 잘 들어서 꽃이 좋아하겠네~
1	1	슬슬 물 줄 시간이네? 
1	2	점심이 왜 점심인지 알아? 마음에 점을 찍는 거래! 그게 무슨 뜻이냐고? 그건 몰라!
1	3	낮잠을 자고 일어나면 개운해서 기분이 좋아! 너도 낮잠 자는 게 좋지?
1	4	사람들은 왜 낮에 일하는 거야? 낮에는 놀고 밤에 일하면 안 돼?
1	5	이런 날에는 도시락을 싸서 소풍을 가고 싶네~ 내가 좋아하는 김밥 싸줘!
1	6	심심한데 뭐 하고 놀까? 응? 낮에는 좀 바쁘다고? 알았어! 힘 내고 이따가 놀자~
1	7	낮의 푸른 하늘을 보고 있자면 신나는 노래가 떠올라. 막 밴드 노래 같은 거?
1	8	으으… 물뿌리개가 어디 갔지? 아침에 쓰고 분명 여기 놨는데… 혹시 네가 옮겼어?
1	9	아, 너구나! 혹시 아침에 먹었던 빵 더 없어? 엄청 맛있더라~
1	10	해가 저물기 전에 열심히 놀아야지~ 물론 꽃 돌보는 것도 열심히!
2	1	해가 지고 있어! 곧 밤이 될 건가봐.
2	1	시원한 바람이 불어와서 기분이 좋네~
2	1	저기 좀 봐! 하늘이 붉어졌어! 예쁘다~
2	1	바~람이 머물다 간 들판에~ 모락모락 피어나는 저녁연기~
2	1	해가 지는건 아쉽지만... 노을을 보면서 쉬는 것도 좋네~
2	2	그 때 봤던 노을도 딱 이런 색깔이었는데. 조금 그리워지네~
2	3	해가 저물면서 불빛이 하나 둘 켜지는 풍경이 엄청 멋있어! 그렇지 않아?
2	4	저녁이 되니 어쩐지 기타를 연주하고 싶어지는걸~ 한번 배워 볼까...
2	5	어, 달이 보이네? 책에서 봤는데, 해랑 달은 사실 오누이였대. 둘이 만나서 다행이다~
2	6	해질녘을 개와 늑대의 시간이라고 부르는 곳도 있대! 왜 그런걸까?
2	7	응? 아, 맞다! 밤이 되기 전에 꽃을 한번 더 살펴줘야지~ 깜빡 할 뻔했네... 고마워!
2	8	사람들은 점심이랑 저녁 중에서 언제 더 맛있는 걸 먹을까? 궁금하네~ 헤헤.
2	9	도로에 지나다니는 차들이 엄청 많아! 근데... 왜 안 가고 서있는거지?
2	10	오늘 하루도 수고 많았어, username! 이제 좀 놀다 잘 준비를 해 볼까?
3	1	하~암... 졸립당.
3	1	불 켜진 건물들이 엄청 멋있어! 
3	1	어두워지니까 뭔가 분위기가 차분해졌어! 이런 느낌도 나쁘지 않네~
3	1	밤에는 햇빛이 없으니까 꽃이 배고프려나...? 전등 불빛이라도 비춰볼까...
3	1	달이 엄청 크다! 예쁘네~
3	2	옛날에 전등이 없을 때는 밤에 엄청 어두웠겠다! 
3	3	"하루 종일 낮인 곳이 있다고 들었는데, 하루 종일 밤인 곳도 있을까?			"
3	4	꽃도 밤에 이파리를 접고 잠을 잔대! 응? 그건 자는거랑 다르다고? 그래...?
3	5	오늘은 잠을 자면서 무슨 꿈을 꾸게 될까? 무서운 꿈만 아니었으면 좋겠다...
3	6	너는 잘때 베게를 몇개 베고 자? 나는 두 개! 푹신푹신한게 좋아~
3	7	어, 별이다! 저 별은 얼마나 멀리 있는거야? 응? 광년? 아무튼 엄청 먼 거지?
3	8	저 별들에도 사람들이 살고 있을까? 꽃도 있었으면 좋겠다! 헤헤.
3	9	우리는 왜 잠을 잘까? 만약 너무 깊이 잤다가 깨어나지 못하면 어떡하지...?
3	10	username, 잘 자! 오늘 하루도 즐거웠어. 내일도 잘 부탁해!
4	1	음~ 꽃향기는 언제 맡아도 참 좋네!
4	1	내 꿈이 뭐냐고? 음… 세상에서 제일 커다란 꽃을 키우고 싶어!
4	1	꽃을 보고 있으면 기분이 좋아져. 맨날 웃고 있는 거 같아!
4	1	너구나~ 이리 와서 앉아. 같이 꽃 구경하면서 좀 쉬자!
4	1	있지, 저번에 갑자기 바람이 많이 불어서 꽃잎이 다 날아갈 뻔했어!! 창문을 잘 닫아 놔야겠네…
4	1	응? 배고파? 아직 밥 안 먹었구나? 아무리 배고파도 꽃은 먹으면 안 돼! 알았지?
4	1	아, 너구나! 아까 꿀벌들이 찾아온거 있지? 그래서 꿀을 좀 나눠줬어. 잘했지?
4	1	꽃을 가꾸는 게 좋은 이유가 있냐고? 꽃이 좋으니까! 꽃이 무럭무럭 크는 것도 좋아~
4	1	혹시 이렇게 창문을 열어 놨다가 새가 들어와서 꽃을 뜯어가 버리면 어떡하지…? 호신술을 배워야 하나?
4	1	꽃 이름 외우는 건 어렵지만, 막상 외우고 나면 엄청 뿌듯해져! 그 꽃을 제대로 기억해 주고 있는 거니까!
4	2	정령 세계에서는 이렇게 열심히 꽃을 키워 본 적이 없다? 알아서 잘 자라거든.
4	3	너는 시가 뭔지 알아? 좋아하는 편이야? ...나? 나는 시를 읽으면 이해는 잘 안 되지만... 좋아해!
4	4	정령 세계는 어떠냐고? 음... 재밌고 신기한게 많아! 옛날에 이곳 저곳 다 가봤었거든. 
4	5	정령 세계의 꽃도 인간 세계와 같냐고? 친구가 그랬는데, 이유는 모르겠지만 아마 같을 거래!
