index	Type	Text	TouchType	Choice1	Choice2	Animation	AnimationType
0	null		Full			Sleep0	
1		으음 ......	Full			Sleep1	
2		음냐 ... 앗, 여긴 어디 !?	Full			Sleep2	
3	Lock	Image	Button			Idle	Idle
4		그리고 ... 안녕 ! 너는 누구야 ??	Full			Idle	Idle
5	Choice		Choice	나는 'playername' 이야	어떻게 말을 하는거야 !?	Idle	Idle
6		응 ? 어떻게 말을 하냐고 ?	Full			Idle	Idle
7		아하, 그냥 고양이인 줄 알았구나 ? 그런 말 자주 듣지. 헤헤 ~	Full			Idle	Smile
8		나는 고양이가 아니고, 정령 세계에서 온 정령이야 !	Full			Idle	Idle
9		원래 정령들은 다 말하는데, 너는 처음 보는구나 ? 그럴 수 있지 ~	Full			Idle	Idle
10		근데 왜 밖에서 쓰러져 있었냐고 ? 그게 ...	Full			Idle	Eogul
11		인간 세상에 있는 친구를 만나러 왔는데, 그만 깜빡 졸아버렸지 뭐야 ?	Full			Idle	Smile
12		비를 맞고 있길래 너희 집으로 데리고 왔다고 ? 너는 착한 사람이구나 ~ 데려와줘서 고마워 ! 히히	Full			Idle	Smile
13		어 ? 근데 이건 밖에 있었던 화분 아니야 ?	Full			Idle	Huk
14		일단 같이 주워 오긴 했는데, 어떻게 쓸지는 모르겠다고 ?	Full			Idle	Idle
15		그야 당연히 꽃을 키우면 되지 !!	Full			Idle	Smile
16		가만 보니까 이미 뭔가 씨앗이 심어져 있는 것 같은데 ? 그대로 키우기만 하면 되겠다 ~	Full			Idle	Idle
17		뭐가 심어져 있는지 어떻게 아냐고 ? 헤헹, 정령한테는 다 아는 수가 있지 !	Full			Idle	Smile
18		그리고 난 꽃에 대해서 꽤나 잘 아는 편이니까, 네가 꽃을 키운다고 하면 내가 보답의 의미로 도와줄게 !	Full			Idle	Smile
19		어차피 인간 세계에서 좀 더 머물다가 돌아가려고 했거든 ~	Full			Idle	Smile
20		그래도 될까 ?	Full			Idle	Idle
21	Choice		Choice	그래, 알았어.	도와준다면야 고맙지.	Idle	Idle
22		정말 ? 알았어 !! 우리 같이 잘 키워보자 ~	Full			Idle	Smile
23		일단 꽃을 키우려면 ... 물부터 줘야겠지 ?!	Full			Idle	Huk
24		근데 ... 물을 어떻게 주지 .....?	Full			Idle	Huk
25		응 ? 물뿌리개 ? 그게 뭐야 ?	Full			Idle	Idle
26		아까 꽃 잘 안다고 하지 않았냐고 ...?	Full			Idle	Huk
27		그게 ... 꽃을 좋아하고 이것저것 알긴 하지만 직접 키우는 건 또 처음이라 ... 헤헤 ......	Full			Idle	Smile
28		그래서 그 물뿌리개라는 건 뭐야 ? 알려줘 !	Full			Idle	Smile
29	Lock	Watering	Button			Idle	Idle
30		우와 ~ 물뿌리개로 물을 주니까 새싹이 자랐어 !!	Full			Idle	Huk
31		물뿌리개 엄청 신기하다 ~ 어떻게 꽃이 빨리 자라게 하는 거야 ?	Full			Idle	Huk
32		응 ? 물뿌리개 때문이 아니라고 ? 보통은 이렇게 빠르게 안 자라 ?	Full			Idle	Huk
33		그, 그렇구나 ?	Full			Idle	Huk
34		근데 아까 보니까 물뿌리개가 낡아서 물이 잘 안 나오더라 ?	Full			Idle	Idle
35		이제 새싹도 자랐으니까 더 좋은 물뿌리개로 바꿔 보는 게 어때 ?	Full			Idle	Smile
36	Lock	Shop	Button			Idle	Idle
37		좋아 ~! 이제 꽃에 물을 더 잘 줄 수 있겠지 ?	Full			Idle	Idle
38	Lock	Watering2	Button			Idle	Idle
39		우와 ~ 이번에는 꽃이 자랐어 !!!	Full			Idle	Huk
40		... 원래는 꽃도 이렇게 빠르게 안 자라는 거지 .....?	Full			Idle	Huk
41		희한하네 ... 그래도 꽃이 빠르게 자란다는 건 좋은 거겠지 ?	Full			Idle	Huk
42		빨리 예쁜 꽃을 볼 수 있잖아 ~ 히히.	Full			Idle	Smile
43		좋았어 ~! 더 힘내서 꽃을 가꿔 보자구 ~	Full			Idle	Smile
44	Lock	Watering3	Button			Idle	Idle
45		아하. 물뿌리개 앞부분이 막혀 있었구나 ~ 도와줘서 고마워 !	Full			Idle	Smile
46	Dust	어, 근데 저게 뭐지 ?	Full			Idle	Huk
47	Lock	Dust	Button			Idle	Idle
48		휴, 한 숨 돌렸네. 도와줘서 고마워 !	Full			Idle	Smile
49	Flower					Idle	Idle
50		좋아 좋아 ! 꽃이 순조롭게 성장하고 있는 것 같아 ~	Full			Idle	Smile
51	Lock	Flower	Button			Idle	Idle
52		이제 꽃도 어느 정도 성장했고, 수확할 수 있는 이슬이 꽤 모인 것 같아 !	Full			Idle	Smile
53	Lock	Flower2	Button			Idle	Idle
54		좋아, 좋아 ~ 이슬이 많이 생겼어 !	Full			Idle	Smile
55	Lock	Final	Button			Idle	Idle
